institution,ngo,private_sector,public_sector,year
ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ,0,75,63,2012
ΑΝΩΤΑΤΗ ΕΚΚΛΗΣΙΑΣΤΙΚΗ ΑΚΑΔΗΜΙΑ ΘΕΣΣΑΛΟΝΙΚΗΣ,0,0,0,2012
ΑΝΩΤΑΤΗ ΣΧΟΛΗ ΚΑΛΩΝ ΤΕΧΝΩΝ,0,0,8,2012
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣ/ΝΙΚΗΣ,0,36,13,2012
ΑΣΠΑΙΤΕ,0,0,0,2012
ΓΕΩΠΟΝΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ,0,0,5,2012
ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ,0,4,25,2012
ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ,0,0,0,2012
ΕΘΝΙΚΟ ΜΕΤΣΟΒΙΟ ΠΟΛΥΤΕΧΝΕΙΟ,0,0,473,2012
ΙΟΝΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ,0,0,0,2012
ΟΙΚΟΝΟΜΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ,1,91,10,2012
ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ,0,0,1,2012
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,0,3,3,2012
ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ,0,0,0,2012
ΠΑΝΕΠΙΣΤΗΜΙΟ ΙΩΑΝΝΙΝΩΝ,0,0,0,2012
ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΡΗΤΗΣ,0,0,0,2012
ΠΑΝΕΠΙΣΤΗΜΙΟ ΜΑΚΕΔΟΝΙΑΣ,0,0,0,2012
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ,0,2,0,2012
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΙΡΑΙΩΣ,0,2,0,2012
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΛΟΠΟΝΝΗΣΟΥ,0,0,1,2012
ΠΑΝΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΟΙΝΩΝΙΚΩΝ ΚΑΙ ΠΟΛΙΤΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,12,3,12,2012
ΠΟΛΥΤΕΧΝΕΙΟ ΚΡΗΤΗΣ,0,0,0,2012
ΤΕΙ ΑΘΗΝΑΣ,6,25,50,2012
ΤΕΙ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,0,82,57,2012
ΤΕΙ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,0,0,0,2012
ΤΕΙ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,0,5,5,2012
ΤΕΙ ΗΠΕΙΡΟΥ,0,12,13,2012
ΤΕΙ ΘΕΣΣΑΛΙΑΣ,0,0,1,2012
ΤΕΙ ΙΟΝΙΩΝ ΝΗΣΩΝ,0,0,0,2012
ΤΕΙ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,0,23,20,2012
ΤΕΙ ΚΡΗΤΗΣ,0,0,43,2012
ΤΕΙ ΠΕΙΡΑΙΑ,0,9,3,2012
ΤΕΙ ΠΕΛΟΠΟΝΝΗΣΟΥ,0,22,28,2012
ΤΕΙ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,0,1,1,2012
ΧΑΡΟΚΟΠΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ,4,9,1,2012
ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ,3,319,354,2013
ΑΝΩΤΑΤΗ ΕΚΚΛΗΣΙΑΣΤΙΚΗ ΑΚΑΔΗΜΙΑ ΘΕΣΣΑΛΟΝΙΚΗΣ,0,0,0,2013
ΑΝΩΤΑΤΗ ΣΧΟΛΗ ΚΑΛΩΝ ΤΕΧΝΩΝ,2,2,27,2013
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣ/ΝΙΚΗΣ,5,319,510,2013
ΑΣΠΑΙΤΕ,0,79,13,2013
ΓΕΩΠΟΝΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ,0,0,247,2013
ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ,7,51,330,2013
ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ,38,101,164,2013
ΕΘΝΙΚΟ ΜΕΤΣΟΒΙΟ ΠΟΛΥΤΕΧΝΕΙΟ,2,383,186,2013
ΙΟΝΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ,1,23,40,2013
ΟΙΚΟΝΟΜΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ,12,506,60,2013
ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ,14,266,302,2013
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,18,23,110,2013
ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ,0,439,234,2013
ΠΑΝΕΠΙΣΤΗΜΙΟ ΙΩΑΝΝΙΝΩΝ,3,195,183,2013
ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΡΗΤΗΣ,13,60,253,2013
ΠΑΝΕΠΙΣΤΗΜΙΟ ΜΑΚΕΔΟΝΙΑΣ,3,53,13,2013
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ,0,18,23,2013
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΙΡΑΙΩΣ,16,410,72,2013
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΛΟΠΟΝΝΗΣΟΥ,4,36,94,2013
ΠΑΝΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΟΙΝΩΝΙΚΩΝ ΚΑΙ ΠΟΛΙΤΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,11,82,35,2013
ΠΟΛΥΤΕΧΝΕΙΟ ΚΡΗΤΗΣ,3,84,41,2013
ΤΕΙ ΑΘΗΝΑΣ,5,86,100,2013
ΤΕΙ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,0,98,62,2013
ΤΕΙ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,0,53,60,2013
ΤΕΙ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,2,177,33,2013
ΤΕΙ ΗΠΕΙΡΟΥ,5,172,269,2013
ΤΕΙ ΘΕΣΣΑΛΙΑΣ,0,74,92,2013
ΤΕΙ ΙΟΝΙΩΝ ΝΗΣΩΝ,0,54,76,2013
ΤΕΙ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,0,160,133,2013
ΤΕΙ ΚΡΗΤΗΣ,2,52,237,2013
ΤΕΙ ΠΕΙΡΑΙΑ,0,1,5,2013
ΤΕΙ ΠΕΛΟΠΟΝΝΗΣΟΥ,0,28,46,2013
ΤΕΙ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,0,62,13,2013
ΧΑΡΟΚΟΠΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ,9,19,115,2013
ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ,1,153,275,2014
ΑΝΩΤΑΤΗ ΕΚΚΛΗΣΙΑΣΤΙΚΗ ΑΚΑΔΗΜΙΑ ΘΕΣΣΑΛΟΝΙΚΗΣ,0,0,5,2014
ΑΝΩΤΑΤΗ ΣΧΟΛΗ ΚΑΛΩΝ ΤΕΧΝΩΝ,0,0,17,2014
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣ/ΝΙΚΗΣ,61,653,1018,2014
ΑΣΠΑΙΤΕ,0,11,1,2014
ΓΕΩΠΟΝΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ,0,0,305,2014
ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ,53,187,541,2014
ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ,114,625,730,2014
ΕΘΝΙΚΟ ΜΕΤΣΟΒΙΟ ΠΟΛΥΤΕΧΝΕΙΟ,3,443,857,2014
ΙΟΝΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ,12,83,115,2014
ΟΙΚΟΝΟΜΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ,6,511,42,2014
ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ,33,452,377,2014
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,19,73,162,2014
ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ,8,587,376,2014
ΠΑΝΕΠΙΣΤΗΜΙΟ ΙΩΑΝΝΙΝΩΝ,4,238,232,2014
ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΡΗΤΗΣ,21,124,445,2014
ΠΑΝΕΠΙΣΤΗΜΙΟ ΜΑΚΕΔΟΝΙΑΣ,13,283,32,2014
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ,2,349,449,2014
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΙΡΑΙΩΣ,5,417,45,2014
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΛΟΠΟΝΝΗΣΟΥ,13,171,148,2014
ΠΑΝΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΟΙΝΩΝΙΚΩΝ ΚΑΙ ΠΟΛΙΤΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,170,258,318,2014
ΠΟΛΥΤΕΧΝΕΙΟ ΚΡΗΤΗΣ,1,129,75,2014
ΤΕΙ ΑΘΗΝΑΣ,9,214,221,2014
ΤΕΙ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,0,110,84,2014
ΤΕΙ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,0,334,199,2014
ΤΕΙ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,0,93,43,2014
ΤΕΙ ΗΠΕΙΡΟΥ,10,410,494,2014
ΤΕΙ ΘΕΣΣΑΛΙΑΣ,0,162,327,2014
ΤΕΙ ΙΟΝΙΩΝ ΝΗΣΩΝ,0,46,63,2014
ΤΕΙ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,0,134,66,2014
ΤΕΙ ΚΡΗΤΗΣ,0,186,435,2014
ΤΕΙ ΠΕΙΡΑΙΑ,1,176,82,2014
ΤΕΙ ΠΕΛΟΠΟΝΝΗΣΟΥ,1,61,108,2014
ΤΕΙ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,3,179,109,2014
ΧΑΡΟΚΟΠΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ,14,92,184,2014
ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ,1,261,242,2015
ΑΝΩΤΑΤΗ ΕΚΚΛΗΣΙΑΣΤΙΚΗ ΑΚΑΔΗΜΙΑ ΘΕΣΣΑΛΟΝΙΚΗΣ,0,0,8,2015
ΑΝΩΤΑΤΗ ΣΧΟΛΗ ΚΑΛΩΝ ΤΕΧΝΩΝ,3,4,19,2015
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣ/ΝΙΚΗΣ,40,577,946,2015
ΑΣΠΑΙΤΕ,0,0,0,2015
ΓΕΩΠΟΝΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ,0,0,186,2015
ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ,61,194,572,2015
ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ,67,286,531,2015
ΕΘΝΙΚΟ ΜΕΤΣΟΒΙΟ ΠΟΛΥΤΕΧΝΕΙΟ,4,610,604,2015
ΙΟΝΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ,26,113,123,2015
ΟΙΚΟΝΟΜΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ,6,183,8,2015
ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ,35,512,450,2015
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,44,69,148,2015
ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ,15,669,496,2015
ΠΑΝΕΠΙΣΤΗΜΙΟ ΙΩΑΝΝΙΝΩΝ,8,216,283,2015
ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΡΗΤΗΣ,19,137,383,2015
