address,agricultural_area_burned,airplanes_cl215,airplanes_cl415,airplanes_gru,airplanes_pzl,army,crop_residue_area_burned,dumping_ground_area_burned,end_time,fire_station,fire_trucks,firefighters,forest_area_burned,forestry,grove_area_burned,helicopters,local_authorities_vehicles,location,low_vegetation_area_burned,machinery,municipality,other_firefighters,prefecture,start_time,swamp_area_burned,volunteers,water_tank_trucks,wildland_crew,woodland_area_burned
,0.0,,,,,,0.0,0.0,2000-06-25T00:20:00,Π.Υ. ΧΑΛΚΙΔΑΣ,,,0.0,ΧΑΛΚΙΔΑΣ,0.0,,,ΑΓ.ΝΙΚΟΛΑΟΣ ΠΟΛΙΤΙΚΩΝ ΜΕΣΣΑΠΙΩΝ,0.0,,,,ΕΥΒΟΙΑΣ,2000-06-25T00:00:00,0.0,,,,0.0
,0.2,,,,,,50.0,0.0,2000-10-02T20:10:00,Π.Υ. ΦΛΩΡΙΝΑΣ,,,0.0,ΦΛΩΡΙΝΑΣ,0.0,,,ΔΗΜΟΣ  ΜΕΛΙΤΗ,0.0,,,,ΦΛΩΡΙΝΑΣ,2000-10-02T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,2001-03-08T02:30:00,Π.Υ. ΧΑΛΚΙΔΑΣ,,,1.0,ΧΑΛΚΙΔΑΣ,0.0,,,ΛΟΥΤΣΑ-ΔΙΡΦΥΩΝ,0.0,,,,ΕΥΒΟΙΑΣ,2001-03-08T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.2,2001-06-22T01:10:00,Π.Υ. ΑΜΦΙΣΣΑΣ,,,0.0,ΑΜΦΙΣΣΑΣ,0.0,,,ΣΚΟΥΠΙΔΟΤΟΠΟΣ ΧΡΙΣΣΟΥ,0.0,,,,ΦΩΚΙΔΟΣ,2001-06-22T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.5,2001-07-05T12:15:00,Π.Υ. ΚΟΡΙΝΘΟΥ,,,0.0,ΚΟΡΙΝΘΟΥ,0.0,,,ΑΘΙΚΙΑ,0.0,,,,ΚΟΡΙΝΘΙΑΣ,2001-07-05T00:00:00,0.0,,,,0.0
,3.0,,,,,,0.0,0.0,2001-08-01T08:00:00,Π.Υ. ΧΑΛΚΙΔΑΣ,,,0.0,ΧΑΛΚΙΔΑΣ,0.0,,,ΜΑΓΟΥΛΑ ΕΡΕΤΡΙΑΣ,0.0,,,,ΕΥΒΟΙΑΣ,2001-08-01T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.1,2001-08-06T02:40:00,Π.Υ. ΚΟΡΙΝΘΟΥ,,,0.0,ΚΟΡΙΝΘΟΥ,0.0,,,ΚΟΡΙΝΘΟΣ ΤΕΝΕΑΣ ΣΤΕΦΑΝΙΟΥ,0.0,,,,ΚΟΡΙΝΘΙΑΣ,2001-08-06T00:00:00,0.0,,,,0.0
,100.0,,,,,,0.0,0.0,2001-09-25T00:10:00,Π.Κ. ΛΗΞΟΥΡΙΟΥ,,,0.0,,0.0,,,ΛΗΞΟΥΡΙΟΝ,0.0,,,,ΚΕΦΑΛΛΟΝΙΑΣ,2001-09-25T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,2001-09-29T00:15:00,Π.Κ. ΛΗΞΟΥΡΙΟΥ,,,0.0,,0.0,,,ΛΗΞΟΥΡΙΟΝ,100.0,,,,ΚΕΦΑΛΛΟΝΙΑΣ,2001-09-29T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,2001-10-12T15:00:00,Π.Υ. ΑΡΤΑΣ,,,0.0,ΑΜΦΙΛΟΧΙΑΣ,0.0,,,ΑΡΤΑ,0.0,,,,ΑΡΤΑΣ,2001-10-12T00:00:00,0.0,,,,0.1
,0.0,,,,,,0.0,0.0,2001-10-31T12:20:00,Π.Υ. ΣΕΡΡΩΝ,,,0.0,ΣΕΡΡΩΝ,0.0,,,ΠΕΔΙΟ ΒΟΛΗΣ Δ.Δ ΜΕΛΕΝΕΚΙΤΣΙΟΥ,1.0,,,,ΣΕΡΡΩΝ,2001-10-31T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.1,0.0,2003-08-10T14:42:00,Π.Υ. ΝΑΥΠΛΙΟΥ,,,0.0,,0.0,,,ΝΑΥΠΛΙΟΝ,0.0,,,,ΑΡΓΟΛΙΔΟΣ,2003-08-10T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,2004-05-26T12:25:00,Π.Κ. ΑΤΑΛΑΝΤΗΣ,,,0.0,ΑΤΑΛΑΝΤΗΣ,0.0,,,ΜΠΡΟΣΟΥΒΑΛΑ,0.0,,,,ΦΘΙΩΤΙΔΑΣ,2004-05-26T00:00:00,0.0,,,,0.1
,0.0,,,,,,0.0,0.0,2004-05-26T12:25:00,Π.Κ. ΑΤΑΛΑΝΤΗΣ,,,0.0,ΑΤΑΛΑΝΤΗΣ,0.0,,,ΜΠΡΟΣΟΥΒΑΛΑ,0.0,,,,ΦΘΙΩΤΙΔΑΣ,2004-05-26T00:00:00,0.0,,,,0.1
,0.0,,,,,,0.0,0.0,2005-02-08T18:45:00,Π.Υ. ΚΟΜΟΤΗΝΗΣ,,,0.0,ΡΟΔΟΠΗΣ,0.0,,,ΚΟΜΟΤΗΝΗ,0.0,,,,ΡΟΔΟΠΗΣ,2005-02-08T00:00:00,1.0,,,,0.0
,0.0,,,,,,0.0,0.0,2005-03-31T00:45:00,Π.Κ. ΤΡΟΙΖΗΝΑΣ,,,0.0,ΠΟΡΟΥ,0.0,,,ΒΙΔΙ Δ.ΤΡΟΙΖΗΝΑΣ,0.0,,,,ΑΤΤΙΚΗΣ,2005-03-31T00:00:00,0.1,,,,0.0
,0.0,,,,,,5.0,7.0,2005-06-19T01:40:00,6ος  Π.Σ. ΘΕΣΣΑΛΟΝΙΚΗΣ,,,0.0,ΘΕΣ/ΝΙΚΗΣ,0.0,,,Ν.ΑΓΧΙΑΛΟΣ,5.0,,,,ΘΕΣΣΑΛΟΝΙΚΗΣ,2005-06-19T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,2006-06-20T11:50:00,Π.Κ. ΜΟΥΡΙΩΝ,,,0.0,ΚΙΛΚΙΣ,0.0,,,ΑΓΡ. ΠΕΡ. ΚΟΡΥΦΗΣ Δ. ΔΟΪΡΑΝΗΣ,1.0,,,,ΚΙΛΚΙΣ,2006-06-20T00:00:00,0.0,,,,0.0
,1.0,,,,,,0.0,0.0,,Π.Υ. ΠΥΡΓΟΥ,,,0.0,,0.0,,,Δ.ΒΩΛΑΚΟΣ Δ/Δ ΕΠΙΤΑΛΙΟΥ,0.0,,,,ΗΛΕΙΑΣ,2006-06-24T00:00:00,0.0,,,,0.0
,2.0,,,,,,0.0,0.0,2006-07-29T04:10:00,1ος  Π.Σ. ΛΑΡΙΣΑΣ,,,0.0,ΛΑΡΙΣΑΣ,0.0,,,Δ.Δ.ΕΛΕΥΘΕΡΑΙ Δ.ΚΟΙΛΑΔΑΣ,0.0,,,,ΛΑΡΙΣΑΣ,2006-07-29T00:00:00,0.0,,,,0.0
,0.0,,,,,,3.0,0.0,,Π.Κ. ΦΑΡΣΑΛΩΝ,,,0.0,,0.0,,,ΧΑΛΚΙΑΔΕΣ Δ.ΠΟΛΥΔΑΜΑΝΤΑ,0.0,,,,ΛΑΡΙΣΑΣ,2006-08-04T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,2006-08-09T00:38:00,Π.Υ. ΞΑΝΘΗΣ,,,0.0,ΞΑΝΘΗΣ,0.0,,,22ΧΛΜ ΞΑΝΘΗΣ ΑΒΑΤΟΥ,0.05,,,,ΞΑΝΘΗΣ,2006-08-09T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,2006-08-27T20:00:00,Π.Υ. ΛΙΒΑΔΕΙΑΣ,,,0.0,ΛΙΒΑΔΕΙΑΣ,0.0,,,ΜΟΛΟΓΓΟΣ Δ. Δ. ΜΑΥΡΟΝΕΡΙΟΥ,0.0,,,,ΒΟΙΩΤΙΑΣ,2006-08-27T00:00:00,0.0,,,,120.0
,2.0,,,,,,0.0,0.0,2006-09-03T18:10:00,Π.Υ. ΚΡΩΠΙΑΣ,,,0.0,ΠΕΝΤΕΛΗΣ,0.0,,,ΘΕΣΗ ΓΥΑΛΟΥ-ΣΠΑΤΑ,0.0,,,,ΑΤΤΙΚΗΣ,2006-09-09T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.02,0.0,,1ος  Π.Σ. ΛΑΡΙΣΑΣ,,,0.0,ΛΑΡΙΣΑΣ,0.0,,,ΑΓΡ.ΠΕΡ.ΡΑΨΑΝΗΣ,0.0,,,,ΛΑΡΙΣΑΣ,2007-01-28T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,2007-03-03T03:00:00,Π.Κ. ΣΚΟΠΕΛΟΥ,,,0.0,ΣΚΟΠΕΛΟΥ,0.0,,,"""""""ΣΚΟΠΕΛΟΣ ΘΕΣΗ """"""""ΓΛΥΦΟΝΕΡΙ""""""""""""""",3.0,,,,ΜΑΓΝΗΣΙΑΣ,2007-03-03T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,,1ος  Π.Σ. ΛΑΡΙΣΑΣ,,,0.0,,0.0,,,ΑΓΡ.ΠΕΡ.ΦΑΛΑΝΗΣ,0.0,,,,ΛΑΡΙΣΑΣ,2007-03-08T00:00:00,0.05,,,,0.0
,0.0,,,,,,0.0,0.0,,Π.Υ. ΚΩ,,,0.0,ΚΑΛΥΜΝΟΥ,0.0,,,ΜΥΡΤΙΕΣ,2.0,,,,ΔΩΔΕΚΑΝΗΣΩΝ,2007-05-03T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,2007-05-14T16:10:00,Π.Υ. ΜΥΡΙΝΑΣ ΛΗΜΝΟΥ,,,0.0,,0.0,,,ΓΟΜΑΤΙ ΑΤΣΙΚΗ ΛΗΜΝΟΥ,3.0,,,,ΛΕΣΒΟΥ,2007-05-14T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.8,0.0,2007-07-06T00:35:00,Π.Υ. ΒΙ.ΠΕ.ΒΟΛΟΥ,,,0.0,ΒΟΛΟΥ,0.0,,,Δ.Δ.ΣΤΕΦΑΝΟΒΙΚΕΙΟΥ Δ. ΚΑΡΛΑΣ,0.0,,,,ΜΑΓΝΗΣΙΑΣ,2007-07-06T00:00:00,0.0,,,,0.0
,0.0,,,,,,20.0,0.0,,Π.Κ. ΦΑΡΣΑΛΩΝ,,,0.0,,0.0,,,Δ.Δ.Ζ.ΠΗΓΗΣ Δ.ΠΟΛΥΔΑΜΑΝΤΑ,0.0,,,,ΛΑΡΙΣΑΣ,2007-07-13T00:00:00,0.0,,,,0.0
,0.0,,,,,,2.0,0.0,2007-06-19T17:40:00,Π.Υ. ΚΑΤΕΡΙΝΗΣ,,,0.0,ΠΙΕΡΙΑΣ,0.0,,,ΠΕΡΙΟΧΗ<<ΡΟΓΚΙΑ>>ΒΡΟΝΤΟΥΣ,0.0,,,,ΠΙΕΡΙΑΣ,2007-07-19T00:00:00,0.0,,,,0.05
,10.0,,,,,,0.0,0.0,2007-07-27T06:00:00,Π.Κ. ΠΥΛΟΥ,,,0.0,ΚΑΛΑΜΑΤΑΣ,0.0,,,Δ.Δ.ΧΑΝΔΡΙΝΟΥ (ΛΟΓΓΑΚΙΑ),0.0,,,,ΜΕΣΣΗΝΙΑΣ,2007-07-26T00:00:00,0.0,,,,0.0
,0.0,,,,,,3.0,0.0,2007-08-19T02:20:00,1ος  Π.Σ. ΛΑΡΙΣΑΣ,,,0.0,ΛΑΡΙΣΑΣ,0.0,,,ΤΟΥΜΠΑ ΛΑΡΙΣΑΣ,0.0,,,,ΛΑΡΙΣΑΣ,2007-08-19T00:00:00,0.0,,,,0.0
,10.0,,,,,,0.0,0.0,2007-08-23T02:00:00,Π.Υ  ΘΗΒΑΣ,,,0.0,ΘΗΒΩΝ,0.0,,,ΜΑΥΡΟΜΑΤΙ,0.0,,,,ΒΟΙΩΤΙΑΣ,2007-08-23T00:00:00,0.0,,,,5.0
,0.0,,,,,,0.0,0.0,,Π.Κ. ΧΑΛΑΝΔΡΙΤΣΑΣ,,,0.0,ΠΑΤΡΩΝ,0.0,,,ΑΝΩ ΚΑΛΛΙΘΕΑ,0.0,,,,ΑΧΑΙΑΣ,2007-09-03T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,2007-09-21T04:50:00,Π.Κ. ΣΗΤΕΙΑΣ,,,0.0,ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,0.0,,,ΜΑΡΩΝΙΑ,6.0,,,,ΛΑΣΙΘΙΟΥ,2007-09-21T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,2008-02-14T16:30:00,Π.Κ. ΝΕΑΣ ΖΙΧΝΗΣ,,,0.0,,0.0,,,ΑΓΡ.ΠΕΡ.Δ.Δ ΑΛΙΣΤΡΑΤΗΣ,2.0,,,,ΣΕΡΡΩΝ,2008-02-14T00:00:00,0.0,,,,0.0
,10.0,,,,,,0.0,0.0,2008-06-29T01:15:00,Π.Υ. ΤΡΙΚΑΛΩΝ,,,0.0,ΤΡΙΚΑΛΩΝ,0.0,,,ΔΗΜΟΣ ΠΑΛΗΟΚΑΣΤΡΟΥ,0.0,,,,ΤΡΙΚΑΛΩΝ,2008-06-29T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,,Π.Κ. ΜΕΤΣΟΒΟΥ,,,0.02,ΙΩΑΝΝΙΝΩΝ,0.0,,,ΑΡΚΟΥΔΟΡΕΜΑ Δ/Δ ΑΝΗΛΙΟΥ Δ.ΜΕΤΣΟΒΟΥ,0.0,,,,ΙΩΑΝΝΙΝΩΝ,2008-07-02T00:00:00,0.0,,,,0.0
,10.0,,,,,,15.0,0.0,2008-08-05T22:25:00,1ος  Π.Σ. ΙΩΑΝΝΙΝΩΝ,,,0.0,ΙΩΑΝΝΙΝΩΝ,0.0,,,Δ.ΠΑΜΒΩΤΙΔΟΣ -ΙΩΑΝΝΙΝΑ,0.0,,,,ΙΩΑΝΝΙΝΩΝ,2008-08-05T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.1,0.0,,Π.Υ. ΓΑΡΓΑΛΙΑΝΩΝ,,,0.0,,0.0,,,ΓΑΡΓΑΛΙΑΝΟΙ,0.0,,,,ΜΕΣΣΗΝΙΑΣ,2008-08-08T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,2008-10-12T04:00:00,1ος  Π.Σ. ΗΡΑΚΛΕΙΟΥ,,,0.0,ΗΡΑΚΛΕΙΟΥ,0.0,,,ΗΡΑΚΛΕΙΟΝ ΕΠΤΑΛΟΦΟΣ,5.0,,,,ΗΡΑΚΛΕΙΟΥ,2008-10-12T00:00:00,0.0,,,,0.0
,0.5,,,,,,0.0,0.0,2008-11-06T21:10:00,Π.Κ. ΚΥΘΗΡΩΝ,,,0.0,ΔΑΣΟΝΟΜΕΙΟ ΚΥΘΗΡΩΝ,0.0,,,ΦΡΑΤΣΙΑ,0.0,,,,ΑΤΤΙΚΗΣ,2008-11-06T00:00:00,0.0,,,,2.0
,0.0,,,,,,0.0,0.0,2009-03-30T01:30:00,Π.Υ. ΜΕΣΟΛΟΓΓΙΟΥ,,,0.0,ΜΕΣΟΛΟΓΓΙΟΥ,0.0,,,ΣΤΑΜΝΑ,0.5,,Δ. ΑΙΤΩΛΙΚΟΥ,,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,2009-03-30T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,,1ος  Π.Σ. ΛΑΡΙΣΑΣ,,,0.0,,0.0,,,,0.0,,,,ΛΑΡΙΣΑΣ,2009-06-03T00:00:00,0.1,,,,0.0
,0.0,,,,,,20.0,0.0,2009-09-03T00:50:00,Π.Κ. ΦΑΡΣΑΛΩΝ,,,0.0,,0.0,,,,0.0,,,,ΛΑΡΙΣΑΣ,2009-09-03T00:00:00,0.0,,,,0.0
,0.1,,,,,,0.0,0.0,2009-12-06T00:40:00,Π.Κ. ΧΑΛΑΝΔΡΙΤΣΑΣ,,,0.0,ΠΑΤΡΩΝ,0.0,,,Δ.Δ. ΚΥΔΩΝΙΩΝ,0.0,,,,ΑΧΑΙΑΣ,2009-12-06T00:00:00,0.0,,,,0.0
,0.1,,,,,,0.0,0.0,2010-07-13T01:30:00,Π.Κ. ΓΑΙΟΥ ΠΑΞΩΝ,,,0.0,ΚΕΡΚΥΡΑΣ,0.0,,,,0.0,,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,,ΚΕΡΚΥΡΑΣ,2010-07-13T00:00:00,0.0,,,,0.0
,0.0,,,,,,2.0,0.0,2010-07-21T00:10:00,1ος  Π.Σ. ΛΑΡΙΣΑΣ,,,0.0,,0.0,,,,0.0,,ΜΗΛΙΑ,,ΛΑΡΙΣΑΣ,2010-07-21T00:00:00,0.0,,,,0.0
,0.1,,,,,,0.0,0.0,2010-08-14T00:40:00,Π.Υ. ΙΣΤΙΑΙΑΣ,,,0.0,ΙΣΤΙΑΙΑΣ,0.0,,,,0.0,,ΗΛΙΑ,,ΕΥΒΟΙΑΣ,2010-08-14T00:00:00,0.0,,,,0.0
,0.0,0,0,0,0,0,0.0,0.0,2011-09-09T00:47:00,Π.Υ. ΓΙΑΝΝΙΤΣΩΝ,1,2,0.0,ΕΔΕΣΣΑΣ,0.0,0,0,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΑΡΑΒΗΣΣΟΥ,0.5,0,Δ. ΠΕΛΛΑΣ,0,ΠΕΛΛΑΣ,2011-09-08T00:00:00,0.0,0,0,0,0.0
,0.0,0,0,0,0,0,10.0,0.0,2011-09-19T01:30:00,1ος  Π.Σ. ΛΑΡΙΣΑΣ,1,2,0.0,ΛΑΡΙΣΑΣ,0.0,0,0,ΜΙΚΡΟ ΒΟΥΝΟ,0.0,0,Δ. ΚΙΛΕΛΕΡ,0,ΛΑΡΙΣΑΣ,2011-09-19T00:00:00,0.0,0,0,0,0.0
ΑΓΡΙΔΙΑ,0.0,0,0,0,0,0,0.0,0.0,2012-06-22T01:45:00,Π.Κ. ΓΑΡΑΖΟΥ,1,3,0.0,ΡΕΘΥΜΝΗΣ,0.0,0,0,,0.1,0,Δ. ΜΥΛΟΠΟΤΑΜΟΥ,0,ΡΕΘΥΜΝΟΥ,2012-06-22T00:00:00,0.0,0,0,0,0.0
ΒΙ.ΠΕ. ΔΡΑΜΑΣ,0.0,0,0,0,0,0,0.0,0.0,,Π.Υ. ΔΡΑΜΑΣ,1,2,0.0,,0.0,0,0,,1.0,0,Δ. ΔΡΑΜΑΣ,0,ΔΡΑΜΑΣ,2012-07-17T00:00:00,0.0,0,0,0,0.0
ΚΑΒΑΛΑ,0.0,0,3,0,2,0,0.0,0.0,2012-09-04T19:20:00,Π.Υ. ΚΑΒΑΛΑΣ,7,83,0.0,ΚΑΒΑΛΑΣ,0.0,0,4,,0.0,0,Δ. ΚΑΒΑΛΑΣ,28,ΚΑΒΑΛΑΣ,2012-08-30T00:00:00,0.0,0,0,48,550.0
ΑΛΜΥΡΟΣ ΑΧΑΡΑΒΗΣ,0.0,0,0,0,0,0,0.0,0.0,2013-07-31T00:30:00,Π.Κ. ΘΥΝΑΛΙΩΝ,2,6,0.0,,0.0,0,0,,1.0,0,Δ. ΚΕΡΚΥΡΑΣ,0,ΚΕΡΚΥΡΑΣ,2013-07-31T00:00:00,0.0,0,0,0,0.0
Τ.Κ ΚΑΛΙΠΑΔΟΥ(ΑΓ.ΜΑΡΙΝΑ),0.2,0,0,0,0,0,0.0,0.0,2013-08-05T00:48:00,Π.Υ. ΖΑΚΥΝΘΟΥ,3,5,0.0,ΖΑΚΥΝΘΟΥ,0.0,0,0,ΚΑΛΙΠΑΔΟ,0.0,0,Δ. ΖΑΚΥΝΘΙΩΝ,0,ΖΑΚΥΝΘΟΥ,2013-08-05T00:00:00,0.0,0,0,0,0.0
ΚΟΡΩΝΗΣΙΑ,0.0,0,0,0,0,0,0.0,0.0,2013-08-12T00:55:00,Π.Υ. ΑΡΤΑΣ,1,2,0.0,ΑΡΤΑΣ,0.0,0,0,,0.0,0,Δ. ΑΡΤΑΙΩΝ,0,ΑΡΤΑΣ,2013-08-12T00:00:00,0.1,0,0,0,0.0
15 ΧΛΜ. ΕΠ. ΟΔΟΥ ΙΩΑΝΝΙΝΩΝ- ΔΩΔΩΝΗΣ,0.0,0,0,0,0,0,0.0,0.0,2013-08-21T00:30:00,1ος  Π.Σ. ΙΩΑΝΝΙΝΩΝ,2,4,0.0,ΙΩΑΝΝΙΝΩΝ,0.0,0,0,,0.1,0,Δ. ΙΩΑΝΝΙΤΩΝ,0,ΙΩΑΝΝΙΝΩΝ,2013-08-21T00:00:00,0.0,0,0,0,0.0
Δ.Δ.ΑΥΡΑΣ,0.0,0,0,0,0,0,70.0,0.0,2014-07-02T02:00:00,Π.Κ. ΦΑΡΣΑΛΩΝ,1,2,0.0,ΛΑΡΙΣΑΣ,0.0,0,0,,0.0,0,Δ. ΛΑΡΙΣΑΙΩΝ,0,ΛΑΡΙΣΑΣ,2014-07-02T00:00:00,5.0,0,0,0,0.0
ΣΟΦΑΔΕΣ,0.0,0,0,0,0,0,70.0,0.0,2014-07-13T00:50:00,Π.Υ. ΣΟΦΑΔΩΝ,1,2,0.0,ΚΑΡΔΙΤΣΑΣ,0.0,0,0,,0.0,0,Δ. ΣΟΦΑΔΩΝ,0,ΚΑΡΔΙΤΣΑΣ,2014-07-13T00:00:00,0.0,0,0,0,0.0
ΛΥΓΑΡΑΣ - ΠΙΣΚΟΚΕΦΑΛΟ,0.0,0,0,0,0,0,0.0,0.0,,Π.Κ. ΣΗΤΕΙΑΣ,1,2,0.0,Ν. ΛΑΣΙΘΙΟΥ,0.0,0,0,,0.1,0,Δ. ΣΗΤΕΙΑΣ,0,ΛΑΣΙΘΙΟΥ,2015-08-02T00:00:00,0.0,0,0,0,0.0
ΑΛΗΘΙΝΗ,0.0,0,0,0,0,0,0.0,0.0,2016-05-01T06:30:00,Π.Υ. ΕΡΜΟΥΠΟΛΗΣ,3,17,0.0,ΣΥΡΟΥ,0.0,0,1,,8.0,0,Δ. ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΕΩΣ,7,ΚΥΚΛΑΔΩΝ,2016-05-01T00:00:00,0.0,0,1,0,0.0
ΔΑΡΙΒΙΑΝΑ,0.01,0,0,0,0,0,0.0,0.0,2017-03-26T01:40:00,Π.Κ. ΣΠΗΛΙΟΥ,1,2,0.0,ΡΕΘΥΜΝΟΥ,0.0,0,0,,0.0,0,Δ. ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ,0,ΡΕΘΥΜΝΟΥ,2017-03-26T00:00:00,0.0,0,0,0,0.0
ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΡΟΔΙΤΗ,0.0,0,0,0,0,0,0.0,0.0,2017-06-27T00:20:00,Π.Υ. ΚΟΜΟΤΗΝΗΣ,1,2,0.0,Δ/ΝΣΗ ΔΑΣΩΝ Ν.ΡΟΔΟΠΗΣ,0.0,0,0,,0.1,0,Δ. ΚΟΜΟΤΗΝΗΣ,0,ΡΟΔΟΠΗΣ,2017-06-27T00:00:00,0.0,0,0,0,0.0
ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΞΥΛΑΓΑΝΗΣ,0.0,0,0,0,0,0,0.0,0.0,2017-07-17T08:45:00,Π.Υ. ΚΟΜΟΤΗΝΗΣ,11,19,0.0,Δ/ΝΣΗ ΔΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,0.0,0,0,,10.0,1,Δ. ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ,0,ΡΟΔΟΠΗΣ,2017-07-17T00:00:00,0.0,0,0,7,10.0
ΔΩΜΑΤΙΑ,0.0,0,0,0,0,0,0.0,0.0,2017-09-04T07:45:00,Π.Υ. ΕΛΕΥΘΕΡΟΥΠΟΛΗΣ,3,8,0.0,ΚΑΒΑΛΑΣ,0.0,0,1,,0.0,0,Δ. ΠΑΓΓΑΙΟΥ,0,ΚΑΒΑΛΑΣ,2017-09-04T00:00:00,0.0,0,0,0,1.0
ΜΟΥΖΟΥΡΑΣ ΑΚΡΩΤΗΡΙΟΥ,0.0,0,0,0,0,0,0.0,1.0,,1ος  Π.Σ. ΧΑΝΙΩΝ,2,6,0.0,,0.0,0,0,,0.0,0,Δ. ΧΑΝΙΩΝ,0,ΧΑΝΙΩΝ,2017-12-18T00:00:00,0.0,0,0,0,0.0
ΣΙΔΑΡΙ,0.0,0,0,0,0,0,0.0,0.1,2018-10-08T01:00:00,Π.Κ. ΘΥΝΑΛΙΩΝ,1,2,0.0,ΚΕΡΚΥΡΑΣ,0.0,0,0,,0.0,0,Δ. ΚΕΡΚΥΡΑΣ,0,ΚΕΡΚΥΡΑΣ,2018-10-05T00:00:00,0.0,0,0,0,0.0
